docname,topic,proportion
cv535_21183.txt:18,011,1.0
cv630_10152.txt:3,014,1.0
cv630_10152.txt:38,000,1.0
cv753_11812.txt:13,000,1.0
cv401_13758.txt:7,000,1.0
cv326_14777.txt:0,001,1.0
cv426_10976.txt:16,000,1.0
cv210_9557.txt:28,010,1.0
cv831_16325.txt:21,006,1.0
cv912_5562.txt:12,000,0.616642
cv912_5562.txt:12,001,0.284845
cv912_5562.txt:12,002,0.098513
cv912_5562.txt:47,003,1.0
cv263_20693.txt:30,012,1.0
cv568_17065.txt:0,002,1.0
cv958_13020.txt:12,010,1.0
cv824_9335.txt:6,010,1.0
cv759_15091.txt:14,010,1.0
cv147_22625.txt:6,010,1.0
cv752_25330.txt:6,009,1.0
cv715_19246.txt:27,000,1.0
cv065_16909.txt:2,004,1.0
cv065_16909.txt:37,010,1.0
cv409_29625.txt:9,003,1.0
cv053_23117.txt:12,000,1.0
cv053_23117.txt:47,011,1.0
cv036_18385.txt:9,010,1.0
cv231_11028.txt:2,010,1.0
cv231_11028.txt:37,010,1.0
cv045_25077.txt:7,010,1.0
cv570_28960.txt:0,010,0.544856
cv570_28960.txt:0,002,0.302547
cv570_28960.txt:0,000,0.152597
cv109_22599.txt:8,012,1.0
cv859_15689.txt:8,001,1.0
cv084_15183.txt:15,001,1.0
cv266_26644.txt:23,001,1.0
cv837_27232.txt:3,002,1.0
cv334_0074.txt:12,010,1.0
cv780_8467.txt:5,010,1.0
cv749_18960.txt:16,004,1.0
cv549_22771.txt:18,008,1.0
cv340_14776.txt:5,000,0.616642
cv340_14776.txt:5,001,0.284845
cv340_14776.txt:5,002,0.098513
cv211_9955.txt:20,010,1.0
cv241_24602.txt:2,005,1.0
cv582_6678.txt:6,009,1.0
cv005_29357.txt:1,004,1.0
cv151_17231.txt:1,010,1.0
cv306_10859.txt:13,000,1.0
cv774_15488.txt:13,030,1.0
cv626_7907.txt:20,000,1.0
cv760_8977.txt:5,000,1.0
cv760_8977.txt:40,003,1.0
cv614_11320.txt:18,001,1.0
cv317_25111.txt:14,002,1.0
cv682_17947.txt:20,008,1.0
cv787_15277.txt:27,010,1.0
cv474_10682.txt:1,000,1.0
cv260_15652.txt:17,009,1.0
cv311_17708.txt:3,000,1.0
cv132_5423.txt:8,010,1.0
cv516_12117.txt:27,009,1.0
cv757_10668.txt:32,006,1.0
cv681_9744.txt:33,017,1.0
cv498_9288.txt:22,001,1.0
cv230_7913.txt:1,007,1.0
cv230_7913.txt:36,015,1.0
cv869_24782.txt:15,004,1.0
cv575_22598.txt:0,000,1.0
cv275_28725.txt:3,010,1.0
cv654_19345.txt:7,004,1.0
cv654_19345.txt:42,006,1.0
cv521_1730.txt:25,001,1.0
cv872_13710.txt:7,010,1.0
cv735_20218.txt:20,003,1.0
cv274_26379.txt:0,015,1.0
cv274_26379.txt:35,000,0.616642
cv274_26379.txt:35,001,0.284845
cv274_26379.txt:35,002,0.098513
cv331_8656.txt:17,010,1.0
cv062_24556.txt:1,002,1.0
cv784_16077.txt:6,007,1.0
cv351_17029.txt:6,000,1.0
cv380_8164.txt:14,000,1.0
cv819_9567.txt:26,001,1.0
cv970_19532.txt:33,003,1.0
cv862_15924.txt:11,000,1.0
cv673_25874.txt:19,001,1.0
cv731_3968.txt:27,002,1.0
cv074_7188.txt:13,010,1.0
cv860_15520.txt:4,010,1.0
cv452_5179.txt:9,002,1.0
cv491_12992.txt:10,000,1.0
cv491_12992.txt:45,000,1.0
cv433_10443.txt:34,003,1.0
cv526_12868.txt:34,000,1.0
cv526_12868.txt:69,010,1.0
cv540_3092.txt:22,002,1.0
cv539_21865.txt:21,010,1.0
cv674_11593.txt:11,000,1.0
cv493_14135.txt:27,010,1.0
cv443_22367.txt:6,003,1.0
cv980_11851.txt:6,006,1.0
cv422_9632.txt:2,008,1.0
cv895_22200.txt:5,003,1.0
cv511_10360.txt:23,005,1.0
cv511_10360.txt:58,010,1.0
cv823_17055.txt:30,000,1.0
cv200_29006.txt:33,004,1.0
cv200_29006.txt:68,001,1.0
cv192_16079.txt:22,006,1.0
cv192_16079.txt:57,010,1.0
cv657_25835.txt:3,000,1.0
cv126_28821.txt:21,013,1.0
cv082_11979.txt:25,012,1.0
cv407_23928.txt:8,007,1.0
cv832_24713.txt:19,000,1.0
cv205_9676.txt:5,000,1.0
cv849_17215.txt:29,011,1.0
cv507_9509.txt:23,002,1.0
cv714_19704.txt:14,007,1.0
cv559_0057.txt:5,000,1.0
cv243_22164.txt:2,002,1.0
cv243_22164.txt:37,000,1.0
cv462_20788.txt:18,010,1.0
cv310_14568.txt:15,000,1.0
cv576_15688.txt:10,001,1.0
cv956_12547.txt:24,007,1.0
cv672_27988.txt:1,011,1.0
cv339_22452.txt:15,000,1.0
cv387_12391.txt:21,000,1.0
cv717_17472.txt:30,000,1.0
cv918_27080.txt:21,005,1.0
cv866_29447.txt:29,004,1.0
cv440_16891.txt:2,003,1.0
cv467_26610.txt:24,001,1.0
cv989_17297.txt:19,005,1.0
cv527_10338.txt:31,010,1.0
cv779_18989.txt:6,000,1.0
cv986_15092.txt:1,005,1.0
cv977_4776.txt:18,010,1.0
cv481_7930.txt:21,001,1.0
cv182_7791.txt:5,000,1.0
cv419_14799.txt:11,012,1.0
