docname,topic,proportion
cv233_17614.txt,003,0.658506
cv233_17614.txt,000,0.186714
cv233_17614.txt,001,0.15478
cv050_12128.txt,003,0.746769
cv050_12128.txt,001,0.10197
cv050_12128.txt,004,0.10165
cv050_12128.txt,006,0.049611
cv352_5414.txt,003,0.54375
cv352_5414.txt,004,0.271275
cv352_5414.txt,001,0.117806
cv352_5414.txt,000,0.067168
cv310_14568.txt,000,0.856397
cv310_14568.txt,002,0.143603
cv049_21917.txt,003,0.848523
cv049_21917.txt,002,0.091353
cv049_21917.txt,000,0.060124
cv036_18385.txt,000,0.979204
cv036_18385.txt,002,0.020796
cv222_18720.txt,000,0.814171
cv222_18720.txt,004,0.185829
cv195_16146.txt,003,0.522826
cv195_16146.txt,001,0.408354
cv195_16146.txt,000,0.06882
cv306_10859.txt,003,0.804693
cv306_10859.txt,000,0.099647
cv306_10859.txt,001,0.083703
cv306_10859.txt,002,0.011957
cv316_5972.txt,002,0.606135
cv316_5972.txt,000,0.268396
cv316_5972.txt,006,0.097767
cv316_5972.txt,003,0.027701
cv043_16808.txt,001,0.776272
cv043_16808.txt,004,0.223728
cv084_15183.txt,001,0.810948
cv084_15183.txt,000,0.189052
cv302_26481.txt,003,0.975238
cv302_26481.txt,000,0.024762
cv369_14245.txt,000,0.686671
cv369_14245.txt,003,0.125362
cv369_14245.txt,005,0.12308
cv369_14245.txt,001,0.064886
cv219_19874.txt,003,0.737103
cv219_19874.txt,006,0.179145
cv219_19874.txt,000,0.078388
cv219_19874.txt,002,0.005363
cv138_13903.txt,000,0.574048
cv138_13903.txt,001,0.313524
cv138_13903.txt,003,0.088337
cv138_13903.txt,002,0.024091
cv168_7435.txt,002,0.944215
cv168_7435.txt,000,0.055785
cv207_29141.txt,001,0.582586
cv207_29141.txt,002,0.243959
cv207_29141.txt,000,0.090756
cv207_29141.txt,003,0.057331
cv207_29141.txt,009,0.023715
cv207_29141.txt,004,0.001653
cv118_28837.txt,000,0.965719
cv118_28837.txt,003,0.034281
cv173_4295.txt,004,1.0
cv146_19587.txt,003,0.587103
cv146_19587.txt,000,0.253404
cv146_19587.txt,002,0.150914
cv146_19587.txt,004,0.008579
cv101_10537.txt,000,0.283349
cv101_10537.txt,003,0.2802
cv101_10537.txt,002,0.226149
cv101_10537.txt,001,0.103765
cv101_10537.txt,006,0.070105
cv101_10537.txt,009,0.036433
cv092_27987.txt,003,0.919353
cv092_27987.txt,000,0.063214
cv092_27987.txt,002,0.017433
cv223_28923.txt,003,0.495351
cv223_28923.txt,000,0.283074
cv223_28923.txt,002,0.079428
cv223_28923.txt,001,0.051449
cv223_28923.txt,006,0.042211
cv223_28923.txt,007,0.024409
cv223_28923.txt,008,0.024079
cv187_14112.txt,001,0.5648
cv187_14112.txt,002,0.252497
cv187_14112.txt,000,0.163781
cv187_14112.txt,006,0.018922
cv005_29357.txt,007,0.810672
cv005_29357.txt,000,0.117209
cv005_29357.txt,001,0.072119
cv329_29293.txt,007,1.0
cv034_29446.txt,002,0.563346
cv034_29446.txt,006,0.259151
cv034_29446.txt,001,0.177503
cv193_5393.txt,002,0.30546
cv193_5393.txt,001,0.294149
cv193_5393.txt,004,0.256773
cv193_5393.txt,006,0.143618
cv273_28961.txt,002,0.675932
cv273_28961.txt,003,0.199559
cv273_28961.txt,001,0.124509
cv280_8651.txt,002,0.895489
cv280_8651.txt,005,0.084817
cv280_8651.txt,001,0.019693
cv296_13146.txt,000,0.631494
cv296_13146.txt,003,0.368506
cv256_16529.txt,004,0.308646
cv256_16529.txt,001,0.307301
cv256_16529.txt,000,0.146367
cv256_16529.txt,005,0.11458
cv256_16529.txt,003,0.097326
cv256_16529.txt,002,0.025779
cv026_29229.txt,000,0.506507
cv026_29229.txt,007,0.448407
cv026_29229.txt,001,0.045085
cv165_2389.txt,003,0.918645
cv165_2389.txt,006,0.081355
cv360_8927.txt,002,0.72743
cv360_8927.txt,001,0.161307
cv360_8927.txt,005,0.111262
cv307_26382.txt,001,0.447244
cv307_26382.txt,003,0.431688
cv307_26382.txt,000,0.121068
cv298_24487.txt,003,0.775165
cv298_24487.txt,002,0.159355
cv298_24487.txt,006,0.065479
cv122_7891.txt,000,0.458661
cv122_7891.txt,001,0.412691
cv122_7891.txt,004,0.06723
cv122_7891.txt,002,0.061419
cv297_10104.txt,003,0.823409
cv297_10104.txt,004,0.11481
cv297_10104.txt,000,0.061781
cv264_14108.txt,001,0.784991
cv264_14108.txt,002,0.131919
cv264_14108.txt,003,0.051135
cv264_14108.txt,006,0.031955
cv176_14196.txt,003,0.693272
cv176_14196.txt,000,0.148355
cv176_14196.txt,001,0.088055
cv176_14196.txt,007,0.036234
cv176_14196.txt,002,0.034084
cv107_25639.txt,001,0.652993
cv107_25639.txt,002,0.15496
cv107_25639.txt,003,0.074282
cv107_25639.txt,000,0.063217
cv107_25639.txt,006,0.045395
cv107_25639.txt,007,0.009153
cv348_19207.txt,003,0.771288
cv348_19207.txt,006,0.166226
cv348_19207.txt,000,0.062486
cv125_9636.txt,000,0.721293
cv125_9636.txt,002,0.235258
cv125_9636.txt,006,0.040064
cv125_9636.txt,003,0.003386
cv327_21743.txt,001,0.680192
cv327_21743.txt,002,0.189975
cv327_21743.txt,005,0.082033
cv327_21743.txt,003,0.047801
cv066_11668.txt,000,0.535766
cv066_11668.txt,004,0.464234
cv160_10848.txt,000,0.512543
cv160_10848.txt,005,0.430526
cv160_10848.txt,006,0.056931
cv379_23167.txt,002,0.383679
cv379_23167.txt,001,0.357067
cv379_23167.txt,003,0.138922
cv379_23167.txt,000,0.120332
cv129_18373.txt,001,1.0
cv249_12674.txt,002,0.467446
cv249_12674.txt,001,0.381174
cv249_12674.txt,006,0.15138
cv311_17708.txt,002,0.692176
cv311_17708.txt,006,0.19316
cv311_17708.txt,003,0.114663
cv052_29318.txt,002,0.648613
cv052_29318.txt,003,0.351387
cv093_15606.txt,000,1.0
cv166_11959.txt,003,0.582456
cv166_11959.txt,001,0.286632
cv166_11959.txt,000,0.093637
cv166_11959.txt,007,0.037276
cv217_28707.txt,002,0.671268
cv217_28707.txt,000,0.127409
cv217_28707.txt,003,0.113081
cv217_28707.txt,001,0.049824
cv217_28707.txt,006,0.038417
cv261_11855.txt,001,0.417775
cv261_11855.txt,003,0.368086
cv261_11855.txt,000,0.090467
cv261_11855.txt,002,0.089759
cv261_11855.txt,006,0.033913
cv069_11613.txt,002,0.64467
cv069_11613.txt,000,0.194201
cv069_11613.txt,006,0.08171
cv069_11613.txt,001,0.07942
cv098_17021.txt,002,0.447939
cv098_17021.txt,005,0.386882
cv098_17021.txt,000,0.165179
cv159_29374.txt,003,1.0
cv075_6250.txt,000,0.681431
cv075_6250.txt,001,0.31168
cv075_6250.txt,004,0.006889
cv372_6654.txt,002,0.548205
cv372_6654.txt,000,0.281397
cv372_6654.txt,006,0.170398
cv031_19540.txt,001,0.727228
cv031_19540.txt,003,0.094787
cv031_19540.txt,002,0.079444
cv031_19540.txt,004,0.061469
cv031_19540.txt,008,0.037072
cv010_29063.txt,003,0.815878
cv010_29063.txt,000,0.078717
cv010_29063.txt,001,0.051292
cv010_29063.txt,006,0.0454
cv010_29063.txt,007,0.008713
cv254_5870.txt,002,0.420973
cv254_5870.txt,004,0.29511
cv254_5870.txt,003,0.236257
cv254_5870.txt,006,0.047659
cv097_26081.txt,000,0.319495
cv097_26081.txt,003,0.260131
cv097_26081.txt,001,0.183796
cv097_26081.txt,002,0.174533
cv097_26081.txt,006,0.062045
cv308_5079.txt,000,0.515214
cv308_5079.txt,002,0.484786
cv099_11189.txt,002,0.644622
cv099_11189.txt,004,0.188703
cv099_11189.txt,003,0.116537
cv099_11189.txt,009,0.04489
cv099_11189.txt,001,0.003414
cv099_11189.txt,007,0.001834
cv382_8393.txt,000,0.738241
cv382_8393.txt,003,0.138666
cv382_8393.txt,009,0.074137
cv382_8393.txt,006,0.048956
cv012_29411.txt,000,0.970718
cv012_29411.txt,006,0.029282
cv211_9955.txt,000,0.739173
cv211_9955.txt,004,0.144179
cv211_9955.txt,002,0.116647
cv186_2396.txt,000,0.74889
cv186_2396.txt,001,0.237177
cv186_2396.txt,002,0.013933
cv174_9735.txt,001,0.427283
cv174_9735.txt,004,0.274826
cv174_9735.txt,007,0.08624
cv174_9735.txt,003,0.080313
cv174_9735.txt,000,0.071179
cv174_9735.txt,002,0.060158
cv055_8926.txt,002,0.410807
cv055_8926.txt,004,0.305023
cv055_8926.txt,003,0.284171
cv283_11963.txt,003,0.449456
cv283_11963.txt,001,0.300925
cv283_11963.txt,006,0.157528
cv283_11963.txt,005,0.092091
cv235_10704.txt,001,0.569361
cv235_10704.txt,002,0.319544
cv235_10704.txt,005,0.111095
cv291_26844.txt,007,0.597881
cv291_26844.txt,003,0.305311
cv291_26844.txt,000,0.096808
cv330_29675.txt,001,0.533838
cv330_29675.txt,003,0.209266
cv330_29675.txt,002,0.15475
cv330_29675.txt,006,0.102145
cv029_19943.txt,001,0.906087
cv029_19943.txt,007,0.093913
cv091_7899.txt,003,0.973778
cv091_7899.txt,000,0.026222
cv289_6239.txt,004,0.930985
cv289_6239.txt,003,0.069015
cv189_24248.txt,001,0.64335
cv189_24248.txt,007,0.178201
cv189_24248.txt,000,0.113032
cv189_24248.txt,003,0.065417
cv086_19488.txt,001,0.689709
cv086_19488.txt,000,0.193678
cv086_19488.txt,003,0.116612
cv018_21672.txt,001,0.68547
cv018_21672.txt,006,0.256908
cv018_21672.txt,003,0.057621
cv354_8573.txt,004,0.516957
cv354_8573.txt,001,0.253017
cv354_8573.txt,002,0.230026
cv314_16095.txt,000,0.741973
cv314_16095.txt,003,0.125896
cv314_16095.txt,002,0.11608
cv314_16095.txt,006,0.016051
cv027_26270.txt,000,0.770352
cv027_26270.txt,002,0.069396
cv027_26270.txt,003,0.060518
cv027_26270.txt,004,0.053415
cv027_26270.txt,001,0.04632
cv198_19313.txt,001,0.873011
cv198_19313.txt,002,0.088866
cv198_19313.txt,003,0.038123
cv287_17410.txt,000,0.66689
cv287_17410.txt,002,0.218522
cv287_17410.txt,003,0.114587
cv288_20212.txt,001,0.942995
cv288_20212.txt,002,0.050284
cv288_20212.txt,000,0.006722
cv170_29808.txt,001,0.899289
cv170_29808.txt,006,0.052904
cv170_29808.txt,000,0.047807
cv021_17313.txt,000,0.723118
cv021_17313.txt,002,0.18008
cv021_17313.txt,003,0.096802
cv019_16117.txt,003,0.954106
cv019_16117.txt,001,0.045894
cv130_18521.txt,004,0.518832
cv130_18521.txt,002,0.255248
cv130_18521.txt,006,0.125918
cv130_18521.txt,009,0.100002
cv109_22599.txt,003,0.563898
cv109_22599.txt,000,0.229434
cv109_22599.txt,001,0.1191
cv109_22599.txt,006,0.053728
cv109_22599.txt,002,0.033841
cv126_28821.txt,002,0.525689
cv126_28821.txt,001,0.2419
cv126_28821.txt,004,0.209869
cv126_28821.txt,000,0.022542
cv141_17179.txt,003,0.71076
cv141_17179.txt,000,0.221645
cv141_17179.txt,006,0.035659
