topic,term,weight
000,character,0.009806072
000,action,0.008105941
000,good,0.009284353
000,play,0.0073342905
000,thriller,0.0037343563
000,scene,0.0067105764
000,killer,0.003290598
000,film,0.021058712
000,rolar,0.003012775
000,work,0.004621762
001,film,0.03625571
001,character,0.008364296
001,big,0.0043712067
001,show,0.005417317
001,wrong,0.005673167
001,moment,0.0025429528
001,funny,0.0032716803
001,joke,0.0023310785
001,bore,0.0033340354
001,interest,0.002924165
002,character,0.011336694
002,love,0.005251142
002,woman,0.004881368
002,friend,0.003506852
002,comedy,0.0046106568
002,marry,0.0026806425
002,job,0.0023650154
002,couple,0.003448987
002,give,0.0037621818
002,talk,0.0036934335
003,big,0.008864508
003,effect,0.006117323
003,story,0.007582283
003,special,0.00426972
003,actor,0.0048765508
003,joe,0.0035845581
003,good,0.006506159
003,rolar,0.0035508184
003,ship,0.0043798024
003,gorilla,0.003435711
004,movie,0.04091903
004,bad,0.023657247
004,wrong,0.012115828
004,jackie,0.008503214
004,shroff,0.0059352224
004,star,0.007941062
004,good,0.008781779
004,guy,0.0065446305
004,comedy,0.0060688355
004,watch,0.006507361
005,movie,0.053074047
005,damme,0.01853302
005,jean,0.011416102
005,kill,0.011476688
005,brother,0.0109742405
005,claude,0.009670701
005,find,0.010637096
005,twin,0.0075549213
005,act,0.009545796
005,chucky,0.0069504757
006,part,0.02284796
006,day,0.016819378
006,timar,0.017997192
006,teen,0.009481227
006,wild,0.007859322
006,crystal,0.0075084614
006,open,0.008342042
006,music,0.007704534
006,lake,0.006470418
006,patrol,0.006302311
007,mar,0.035691213
007,ghost,0.01751955
007,carpenter,0.014467124
007,planet,0.014288115
007,society,0.0139517905
007,home,0.013906588
007,form,0.012708888
007,horror,0.012859769
007,title,0.012746634
007,red,0.011947947
008,computer,0.0480609
008,film,0.0349296
008,hacker,0.017225659
008,hack,0.014328266
008,plot,0.01722903
008,dade,0.010082245
008,movie,0.029422693
008,real,0.009734154
008,timar,0.014335273
008,make,0.014968663
009,girl,0.057738468
009,spice,0.033814214
009,film,0.03455205
009,idear,0.012709238
009,world,0.012083866
009,power,0.010217667
009,original,0.009629593
009,find,0.010408808
009,thing,0.010767837
009,boy,0.007965418
