topic,term,weight
000,tech,0.03426976
000,xplore,0.021760225
000,work,0.018945273
000,learn,0.018320119
000,intel,0.016492732
000,announce,0.014561581
000,make,0.014255823
000,facebook,0.010642126
000,company,0.009447562
000,brain,0.008086939
001,device,0.02761786
001,wireless,0.020944705
001,network,0.020469882
001,standard,0.01575287
001,call,0.014516405
001,phone,0.014583176
001,datar,0.012536728
001,tablet,0.011446191
001,smartphones,0.011060347
001,timar,0.011038416
002,robot,0.04118761
002,people,0.02465833
002,human,0.015663514
002,research,0.015710983
002,home,0.015401479
002,turn,0.014163963
002,young,0.012851227
002,internet,0.011585703
002,robotic,0.0099613145
002,child,0.009202683
003,network,0.04559606
003,social,0.037669487
003,news,0.030597871
003,mediar,0.024740385
003,people,0.02478086
003,online,0.012961696
003,misinformation,0.011935765
003,report,0.012134595
003,digital,0.010459917
003,university,0.014125046
004,battery,0.034397047
004,boost,0.030070232
004,video,0.028713286
004,real,0.025052082
004,developer,0.023837203
004,news,0.024403067
004,effect,0.022061327
004,sync,0.021672115
004,aim,0.021821287
004,paper,0.016191311
005,world,0.10485276
005,dividir,0.10096676
005,hear,0.06826944
005,language,0.05958612
005,worry,0.053261887
005,accent,0.05294115
005,shrink,0.052236047
005,thing,0.029687881
005,camero,0.02302774
005,think,0.021287763
006,technology,0.19076976
006,year,0.14924532
006,speed,0.1460535
006,double,0.12838498
006,anymore,0.122759074
006,blockchain,0.04193596
006,application,0.030254865
006,wireless,0.03141724
006,finance,0.027137874
006,cryptocurrencies,0.02655682
007,google,0.23129411
007,record,0.17853014
007,explicitly,0.15428105
007,movement,0.15269694
007,badly,0.15222625
007,set,0.02707664
007,market,0.018200766
007,answer,0.013291732
007,previous,0.009174339
007,wednesday,0.00770202
008,reality,0.27164918
008,virtual,0.17673379
008,experience,0.14777128
008,theory,0.13463469
008,concept,0.13357337
008,augment,0.1319388
008,miss,0.0006499442
008,sensation,0.00042350413
008,limb,0.00042350267
008,amputee,0.0004235008
009,microsoft,0.20911628
009,security,0.20743494
009,cortana,0.20199867
009,update,0.19549127
009,worth,0.1844778
009,samsung,0.0014810431
010,remember,0.2532891
010,control,0.2510026
010,birth,0.24792428
010,pill,0.24778402
011,launch,0.25405586
011,finally,0.24909194
011,leap,0.24873821
011,magic,0.248114
012,pack,0.36846578
012,electric,0.35784295
012,power,0.27369127
013,computer,0.03279361
013,develope,0.030465612
013,university,0.031222109
013,device,0.02627562
013,system,0.02312303
013,electronic,0.020175586
013,process,0.018978832
013,small,0.017632727
013,start,0.016196962
013,research,0.016414639
